StateFIPS,CongressionalDistrict,StateUpper,StateLower,StateAbbreviation,Population2016,CDInSLD,SLDInCD
50,0,CHI,C73,VT,4661.9,0.007,1
50,0,CHI,C74,VT,4699.046,0.008,1
50,0,CHI,C81,VT,8460.14,0.014,1
50,0,CHI,C82,VT,9358.882,0.015,1
50,0,CHI,C83,VT,4485.453,0.007,1
50,0,CHI,GIC,VT,1354.819,0.002,1
50,0,CHI,WAC,VT,1219.647,0.002,1
50,0,E-O,E-C,VT,3200.629,0.005,1
50,0,E-O,ECO,VT,3320.641,0.005,1
50,0,E-O,F-5,VT,2364.508,0.004,1
50,0,E-O,F-7,VT,1230.405,0.002,1
50,0,E-O,LM2,VT,1734.754,0.003,1
50,0,E-O,O-1,VT,7901.753,0.013,1
50,0,E-O,O-2,VT,8723.496,0.014,1
50,0,E-O,O-L,VT,3143.931,0.005,1
50,0,E-O,OLC,VT,6748.551,0.011,1
50,0,FRA,F-1,VT,4625.544,0.007,1
50,0,FRA,F-2,VT,4389.913,0.007,1
50,0,FRA,F-4,VT,8827.976,0.014,1
50,0,FRA,F-5,VT,6794.376,0.011,1
50,0,FRA,F-6,VT,4599.932,0.007,1
50,0,FRA,F-7,VT,2849.089,0.005,1
50,0,FRA,F31,VT,8793.144,0.014,1
50,0,FRA,F32,VT,4440.112,0.007,1
50,0,FRA,GIC,VT,1983.38,0.003,1
50,0,LAM,LM1,VT,4465.232,0.007,1
50,0,LAM,LM2,VT,6984.559,0.011,1
50,0,LAM,LM3,VT,4483.863,0.007,1
50,0,LAM,LMW,VT,6295.212,0.01,1
50,0,LAM,O-L,VT,1369.379,0.002,1
50,0,ORA,OR1,VT,7758.439,0.012,1
50,0,ORA,OWA,VT,7311.702,0.012,1
50,0,ORA,YO1,VT,1283.246,0.002,1
50,0,ORA,YO2,VT,3683.834,0.006,1
50,0,RUT,A-R,VT,1016.05,0.002,1
50,0,RUT,B-R,VT,1506.756,0.002,1
50,0,RUT,R-1,VT,3717.82,0.006,1
50,0,RUT,R-2,VT,8535.398,0.014,1
50,0,RUT,R-3,VT,8102.422,0.013,1
50,0,RUT,R-4,VT,3900.632,0.006,1
50,0,RUT,R-6,VT,7232.622,0.012,1
50,0,RUT,R-B,VT,3686.068,0.006,1
50,0,RUT,R-W,VT,3009.664,0.005,1
50,0,RUT,R51,VT,3977.605,0.006,1
50,0,RUT,R52,VT,3846.75,0.006,1
50,0,RUT,R53,VT,3943.929,0.006,1
50,0,RUT,R54,VT,4102.687,0.007,1
50,0,RUT,RW2,VT,1016.05,0.002,1
50,0,RUT,Y-R,VT,525.344,0.001,1
50,0,WAS,CAW,VT,1408.208,0.002,1
50,0,WAS,LMW,VT,1871.059,0.003,1
50,0,WAS,OWA,VT,679.045,0.001,1
50,0,WAS,WA1,VT,8936.664,0.014,1
50,0,WAS,WA2,VT,7786.907,0.012,1
50,0,WAS,WA3,VT,8895.391,0.014,1
50,0,WAS,WA4,VT,7719.1,0.012,1
50,0,WAS,WA5,VT,4232.484,0.007,1
50,0,WAS,WA6,VT,4361.218,0.007,1
50,0,WAS,WA7,VT,7637.536,0.012,1
50,0,WAS,WAC,VT,4976.388,0.008,1
50,0,WDM,W-1,VT,4194.02,0.007,1
50,0,WDM,W-3,VT,7342.201,0.012,1
