StateFIPS,PUMA,CongressionalDistrict,StateAbbreviaiton,PUMA2k,Population2016,PUMAWgt,CDWgt
31,600,1,NE,3100600,46491.475,0.339,0.072
31,600,3,NE,3100600,90776,0.661,0.15
31,701,1,NE,3100701,104165,0.976,0.162
31,701,2,NE,3100701,2578.725,0.024,0.004
31,702,1,NE,3100702,75703.827,0.429,0.118
31,702,2,NE,3100702,100740.448,0.571,0.153
31,801,1,NE,3100801,164195.801,1,0.255
31,802,1,NE,3100802,145441.199,1,0.226
31,901,2,NE,3100901,173319.086,1,0.263
31,902,2,NE,3100902,150802.029,1,0.229
31,903,2,NE,3100903,109616.637,1,0.167
31,904,2,NE,3100904,121257.247,1,0.184
32,100,2,NV,3200100,227503.913,1,0.32
32,200,2,NV,3200200,226112.087,1,0.318
32,300,2,NV,3200300,107387,0.629,0.151
32,300,4,NV,3200300,63368.369,0.371,0.086
32,400,2,NV,3200400,150510.219,0.941,0.212
32,400,4,NV,3200400,9481.781,0.059,0.013
32,501,3,NV,3200501,238768.465,0.87,0.32
32,501,4,NV,3200501,35736.144,0.13,0.049
32,502,1,NV,3200502,53765.962,0.405,0.072
32,502,3,NV,3200502,7.733,0,0
32,502,4,NV,3200502,79064.732,0.595,0.107
32,503,1,NV,3200503,149683.653,0.951,0.201
32,503,3,NV,3200503,7755.343,0.049,0.01
32,504,1,NV,3200504,145734.172,0.988,0.195
32,504,3,NV,3200504,1836.094,0.012,0.002
32,505,1,NV,3200505,12311.332,0.051,0.017
32,505,4,NV,3200505,227560.779,0.949,0.309
32,506,4,NV,3200506,229700.679,1,0.312
32,507,1,NV,3200507,24391.77,0.174,0.033
32,507,3,NV,3200507,73813.857,0.525,0.099
32,507,4,NV,3200507,42304.183,0.301,0.057
32,508,1,NV,3200508,124208.123,0.82,0.167
32,508,4,NV,3200508,27238.711,0.18,0.037
32,509,1,NV,3200509,123641.386,0.847,0.166
32,509,4,NV,3200509,22372.288,0.153,0.03
32,510,1,NV,3200510,112113.322,0.461,0.15
32,510,3,NV,3200510,131284.045,0.539,0.176
32,511,1,NV,3200511,8.838,0,0
32,511,3,NV,3200511,292393.02,1,0.392
33,100,1,NH,3300100,3324.398,0.027,0.005
33,100,2,NH,3300100,117602.602,0.973,0.178
33,200,1,NH,3300200,106957.373,0.88,0.159
33,200,2,NH,3300200,14610.795,0.12,0.022
33,300,1,NH,3300300,127428,1,0.19
33,400,1,NH,3300400,13647.284,0.101,0.02
33,400,2,NH,3300400,121438.657,0.899,0.183
33,500,2,NH,3300500,118778,1,0.179
33,600,1,NH,3300600,25937.817,0.212,0.039
33,600,2,NH,3300600,96346.422,0.788,0.145
33,700,1,NH,3300700,103416.706,0.881,0.154
33,700,2,NH,3300700,13961.607,0.119,0.021
33,800,1,NH,3300800,111489.874,1,0.166
33,900,2,NH,3300900,121326.707,1,0.183
33,1000,1,NH,3301000,55881.354,0.489,0.083
33,1000,2,NH,3301000,58367.322,0.511,0.088
33,1100,1,NH,3301100,124280.081,1,0.185
34,101,2,NJ,3400101,111424.048,1,0.154
34,102,2,NJ,3400102,159566.952,1,0.221
34,200,2,NJ,3400200,94430,1,0.131
34,301,5,NJ,3400301,86351.39,0.705,0.116
34,301,9,NJ,3400301,36210.267,0.295,0.048
34,302,9,NJ,3400302,119976.987,1,0.159
34,303,5,NJ,3400303,7.263,0,0
34,303,8,NJ,3400303,14355.236,0.101,0.019
34,303,9,NJ,3400303,127381.322,0.899,0.169
34,304,5,NJ,3400304,141976.244,0.683,0.19
34,304,9,NJ,3400304,65938.628,0.317,0.088
34,305,5,NJ,3400305,159305.251,0.844,0.213
34,305,9,NJ,3400305,29407.742,0.156,0.039
34,306,5,NJ,3400306,158240.67,1,0.212
34,400,9,NJ,3400400,148158.817,1,0.197
34,501,9,NJ,3400501,155980.277,1,0.207
34,502,5,NJ,3400502,38577.293,0.189,0.052
34,502,9,NJ,3400502,33416.021,0.164,0.044
34,502,11,NJ,3400502,131812.592,0.647,0.178
34,601,8,NJ,3400601,109763.668,0.77,0.143
34,601,10,NJ,3400601,32739.045,0.23,0.043
34,602,8,NJ,3400602,9611.777,0.079,0.012
34,602,10,NJ,3400602,112548.218,0.921,0.149
34,701,8,NJ,3400701,130042.25,0.882,0.169
34,701,9,NJ,3400701,17385.002,0.118,0.023
34,702,8,NJ,3400702,137906.334,1,0.179
34,703,8,NJ,3400703,76765.942,0.6,0.1
34,703,9,NJ,3400703,19360.376,0.151,0.026
34,703,10,NJ,3400703,31860.389,0.249,0.042
34,800,7,NJ,3400800,124676,1,0.168
34,901,6,NJ,3400901,75816.969,0.426,0.101
34,901,12,NJ,3400901,102127.375,0.574,0.136
34,902,12,NJ,3400902,187524.826,1,0.249
34,903,6,NJ,3400903,129414.538,0.857,0.173
34,903,12,NJ,3400903,21563.06,0.143,0.029
34,904,6,NJ,3400904,141527.351,1,0.189
34,905,6,NJ,3400905,179064.772,1,0.239
34,1001,7,NJ,3401001,145212.497,0.931,0.195
34,1001,12,NJ,3401001,10733.474,0.069,0.014
34,1002,7,NJ,3401002,97762.12,0.551,0.131
34,1002,12,NJ,3401002,79667.31,0.449,0.106
34,1101,4,NJ,3401101,92358.897,0.835,0.125
34,1101,6,NJ,3401101,18243.831,0.165,0.024
34,1102,4,NJ,3401102,160221.262,1,0.217
34,1103,4,NJ,3401103,72459.064,0.604,0.098
34,1103,6,NJ,3401103,47582.286,0.396,0.064
34,1104,4,NJ,3401104,78410.945,0.63,0.106
34,1104,6,NJ,3401104,46123.851,0.37,0.062
34,1105,4,NJ,3401105,76.446,0.001,0
34,1105,6,NJ,3401105,110369.772,0.999,0.148
34,1201,2,NJ,3401201,41019.869,0.177,0.057
34,1201,3,NJ,3401201,78138.858,0.338,0.105
34,1201,4,NJ,3401201,112044.364,0.485,0.152
34,1202,3,NJ,3401202,163778.38,1,0.221
34,1203,3,NJ,3401203,79199.371,0.401,0.107
34,1203,4,NJ,3401203,118347.927,0.599,0.161
34,1301,8,NJ,3401301,125600.239,0.802,0.163
34,1301,10,NJ,3401301,30972.108,0.198,0.041
34,1302,8,NJ,3401302,318.168,0.003,0
34,1302,10,NJ,3401302,125009.646,0.997,0.165
34,1401,8,NJ,3401401,36398.25,0.301,0.047
34,1401,10,NJ,3401401,32540.586,0.269,0.043
34,1401,11,NJ,3401401,52050.504,0.43,0.07
34,1402,10,NJ,3401402,112413.027,1,0.149
34,1403,10,NJ,3401403,26805.425,0.198,0.035
34,1403,11,NJ,3401403,108309.368,0.802,0.146
34,1404,7,NJ,3401404,20508.132,0.14,0.028
34,1404,10,NJ,3401404,97416.424,0.665,0.129
34,1404,11,NJ,3401404,28572.123,0.195,0.039
34,1501,7,NJ,3401501,24989.189,0.19,0.034
34,1501,11,NJ,3401501,106720.169,0.81,0.144
34,1502,7,NJ,3401502,92533.203,0.706,0.124
34,1502,11,NJ,3401502,38563.601,0.294,0.052
34,1503,11,NJ,3401503,114682.366,1,0.155
34,1504,7,NJ,3401504,8810.661,0.073,0.012
34,1504,11,NJ,3401504,112082.3,0.927,0.151
34,1600,5,NJ,3401600,95520.724,0.67,0.128
34,1600,11,NJ,3401600,47042.788,0.33,0.064
34,1700,5,NJ,3401700,67159.921,0.63,0.09
34,1700,7,NJ,3401700,39457.079,0.37,0.053
34,1800,8,NJ,3401800,129425.265,1,0.168
34,1901,7,NJ,3401901,40953.063,0.246,0.055
34,1901,10,NJ,3401901,125642.003,0.754,0.166
34,1902,7,NJ,3401902,99296.91,0.778,0.133
34,1902,10,NJ,3401902,28321.13,0.222,0.037
34,1903,6,NJ,3401903,1.036,0,0
34,1903,7,NJ,3401903,49622.518,0.376,0.067
34,1903,12,NJ,3401903,82380.457,0.624,0.11
34,2001,1,NJ,3402001,7416.079,0.058,0.01
34,2001,3,NJ,3402001,119642.463,0.942,0.161
34,2002,1,NJ,3402002,19154.448,0.124,0.026
34,2002,3,NJ,3402002,135445.809,0.876,0.183
34,2003,2,NJ,3402003,2132.611,0.013,0.003
34,2003,3,NJ,3402003,165492.591,0.987,0.223
34,2101,1,NJ,3402101,125775.364,1,0.172
34,2102,1,NJ,3402102,121598.08,1,0.166
34,2103,1,NJ,3402103,136207.834,0.928,0.186
34,2103,2,NJ,3402103,10576.294,0.072,0.015
34,2104,1,NJ,3402104,117064.248,1,0.16
34,2201,1,NJ,3402201,130472.016,1,0.178
34,2202,1,NJ,3402202,74422.021,0.332,0.102
34,2202,2,NJ,3402202,149800.143,0.668,0.207
34,2301,4,NJ,3402301,89554.549,0.428,0.121
34,2301,12,NJ,3402301,119841.746,0.572,0.159
34,2302,4,NJ,3402302,13809.867,0.085,0.019
34,2302,7,NJ,3402302,363.217,0.002,0
34,2302,12,NJ,3402302,147818.824,0.913,0.197
34,2400,2,NJ,3402400,153797,1,0.213
35,100,3,NM,3500100,115079,1,0.168
35,200,2,NM,3500200,4376,0.04,0.006
35,200,3,NM,3500200,105369,0.96,0.154
35,300,2,NM,3500300,27962.14,0.241,0.04
35,300,3,NM,3500300,88087.86,0.759,0.129
35,400,1,NM,3500400,5557.529,0.033,0.008
35,400,3,NM,3500400,161240.471,0.967,0.235
35,500,1,NM,3500500,32930.281,0.152,0.047
35,500,2,NM,3500500,64364.423,0.297,0.093
35,500,3,NM,3500500,119672.102,0.552,0.175
35,601,1,NM,3500601,159579.958,1,0.228
35,602,1,NM,3500602,108463.449,1,0.155
35,603,1,NM,3500603,129323.088,0.821,0.185
35,603,3,NM,3500603,28168.123,0.179,0.041
35,604,1,NM,3500604,105118.347,1,0.15
35,605,1,NM,3500605,144441.175,0.983,0.206
35,605,2,NM,3500605,2543.054,0.017,0.004
35,700,2,NM,3500700,34823.988,0.34,0.05
35,700,3,NM,3500700,67586.012,0.66,0.099
35,800,1,NM,3500800,15302,0.147,0.022
35,800,2,NM,3500800,88758,0.853,0.128
35,900,2,NM,3500900,214207,1,0.308
35,1000,2,NM,3501000,130692,1,0.188
35,1100,2,NM,3501100,127370,1,0.183
36,100,21,NY,3600100,110038,1,0.155
36,200,21,NY,3600200,174126,1,0.246
36,300,21,NY,3600300,126367,1,0.178
36,401,21,NY,3600401,9262.054,0.063,0.013
36,401,22,NY,3600401,138898.274,0.937,0.198
36,402,22,NY,3600402,145642.672,1,0.208
36,500,21,NY,3600500,140871,1,0.199
36,600,22,NY,3600600,44069.692,0.37,0.063
36,600,24,NY,3600600,74917.308,0.63,0.106
36,700,24,NY,3600700,144911.382,1,0.204
36,801,22,NY,3600801,71329,0.667,0.102
36,801,24,NY,3600801,35621.428,0.333,0.05
36,802,24,NY,3600802,126296.603,1,0.178
36,803,24,NY,3600803,138291.197,1,0.195
36,804,24,NY,3600804,98934.391,1,0.139
36,901,25,NY,3600901,102778.007,1,0.143
36,902,25,NY,3600902,108750.026,1,0.151
36,1001,25,NY,3601001,123241.592,1,0.171
36,1002,25,NY,3601002,125060.823,1,0.173
36,1003,24,NY,3601003,90798,0.92,0.128
36,1003,25,NY,3601003,7913.805,0.08,0.011
36,1004,25,NY,3601004,162385.694,0.928,0.225
36,1004,27,NY,3601004,12687.403,0.072,0.018
36,1005,25,NY,3601005,90838.99,0.866,0.126
36,1005,27,NY,3601005,14070.661,0.134,0.02
36,1100,23,NY,3601100,45966.963,0.419,0.065
36,1100,27,NY,3601100,63861.037,0.581,0.09
36,1200,27,NY,3601200,105048,1,0.148
36,1300,27,NY,3601300,99828,1,0.14
36,1401,26,NY,3601401,156664.208,1,0.218
36,1402,26,NY,3601402,105216.156,1,0.147
36,1501,27,NY,3601501,105857.968,1,0.149
36,1502,26,NY,3601502,79965.011,0.755,0.111
36,1502,27,NY,3601502,25935.021,0.245,0.036
